seed,rmse,success,mu_state_1,mu_state_2,var_state,rho_state,mu_true_1,mu_true_2,var_true,rho_true,w_r,w_V,alpha,bias,complex_add,symmetry_add,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36
10,0.49264837118143,True,0.538745130383814,-1.33237371827569,1.35603602803379,1.15357348194102,0.594130498624567,0.11082286193527,0.039228869624722,0.001170384036833,1,1,9.55204420314939E-20,3.1328982906094,0.55100747938772,-1.35441379645513,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564,4.13143690459478,3.82987828115804,3.23000115431822,3.14535032659564
11,0.79337962962963,False,0.170249727881157,0.190214657761731,0,0,0.449700320580251,1.5155266986543,0.0001633492216,1.30045212046719E-08,1,1,0.051248038510052,2.58416666666667,1.16464066064569,0.235255532280666,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
12,0.494259296103115,True,0.217557826180335,1.29008921468077,0.052166651158303,0.001718149133262,0.087104735364808,1.18474059912729,0.811287868340719,0.021997545721235,1,1,0,3.17542158649239,0.217558031939751,1.29018324666396,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489,4.17542150166442,3.81040178800001,3.17542170252734,3.17542167447489
13,0.494260638832357,True,0.152572818619434,0.82676360110948,0.029538962853539,0.000413535274082,0.923173599939925,0.838243823242027,0.370932625481223,0.10670547158825,1,1,6.38793359221657E-21,3.16559222975599,0.152484461940344,0.826766569934129,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978,4.16559209731068,3.8398739415758,3.16560165289041,3.16559897488978
14,0.494330516156,True,0.294492237636618,1.28067102124553,0.110221413344226,-0.002037587628137,0.311835885514237,0.961558771334924,0.263288745015527,0.02206378188041,1,1,1.38627897957661E-20,3.16526989538556,0.293950929303293,1.28000551750809,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218,4.16526649548399,3.83990378152912,3.16585555703174,3.1656408326218
15,0.209633340832487,True,0.81749344992829,0.625483822128494,9.97278186097927E-05,3.53857302617615E-09,0.994687753810605,1.03159029764105,0.093662476723302,0.002671508916883,1,1,0.000284420193595,4.70009421418657,0.830271609897908,0.614673910535651,4.93364488519708,3.84749418230406,3.2636145857244,2.42313770931772,4.99923361288828,3.85368154504643,3.26124855815563,2.42603109351406,4.79597435350736,3.61903238880844,3.36833279048809,2.19139091388736,4.82636489376723,3.99111960046123,3.21138306588166,2.37617457785184,4.9334018695816,3.75646888149443,3.31846573548394,2.14153283549588,4.94971608667896,3.84909190083893,3.26300041946418,2.42388361344986,4.71476074144166,3.78288487928315,3.28516477569186,2.35767891322333,5.15433643345111,3.8813974050034,3.24686970660499,2.40775522191946,4.74995716963107,3.81519027894395,3.26903395832854,2.3415504171888
16,0.494262341272237,True,0.252906553821997,1.21367393235532,0.069788747576541,-0.000228268747848,0.363743921320535,0.237373740982323,0.474344104612556,0.036840003882897,1,1,4.67093146009225E-20,3.17606001982891,0.25297118707957,1.21361445719787,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188,4.1760599647363,3.80844428617789,3.17608612393059,3.17607629182188
17,0.494269956887589,True,0.139030621424013,0.681336990694959,0.024537244077228,3.9012770510267E-05,0.792437319897001,0.667315294701247,0.40643279433092,0.09508246114701,1,1,6.50092446610274E-21,3.16552620589319,0.139268684989036,0.681469501929842,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698,4.16552469526496,3.83995872526958,3.16560414871514,3.16557909741698
18,0.494260085980608,True,0.340829088202799,1.85577397897515,0.145938281330632,-0.003817915774842,0.856593812979421,0.760598707765511,0.443691431426727,0.194479159015118,1,1,0,3.16629254717932,0.340825590802721,1.85577531729049,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256,4.16629254713208,3.83777710849362,3.16629999761537,3.1662970134256
19,0.494260473174092,True,-0.588513567292913,3.0312342624985,0.381878202969629,-0.038564431882388,0.345332054506636,0.09700530498452,0.451553318769861,0.164464825821786,1,1,0,3.17605645222897,-0.588650393130777,3.03144355071303,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225,4.17605637717392,3.80848675792039,3.17606171644984,3.1760618151225
