seed,rmse,success,mu_state_1,mu_state_2,var_state,rho_state,mu_true_1,mu_true_2,var_true,rho_true,w_r,w_V,alpha,bias,complex_add,symmetry_add,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36
10,0.234074074074074,True,0.835266218094386,-0.437199244251377,0.838120932528075,0.616097155417573,0.49850701230259,0.224796645530848,0.039228898396789,0.0011703856332,3.38386620867174,0,0,1.80335903946516,0.422952147980284,-0.789742326584788,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485,4.85117589432483,3.84567368960819,3.30461910917878,2.33519797355485
11,0.79337962962963,True,0.180269688876769,0.019475241487625,0.214571403291298,0.033376601196432,0.420203604587727,0.485427098167782,0.0001633492216,1.30045210983185E-08,0,0,0.000729964470221,3.58416666666667,0.941806652343366,0.850795089376779,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
12,0.79337962962963,True,0.154162842379672,0.740049696515405,0.069334797221948,0.002565852914623,0.01457496248542,0.918747008099885,0.811287248427031,0.021997549167064,0,0,0.000283828352958,3.58416666666667,0.956949336275117,0.137209321356076,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
13,0.79337962962963,True,0.77770241057382,0.237541220034912,0.679435099406379,0.44582078623634,0.972601113904893,0.453449247417312,0.370932721446323,0.106705533690809,0,0,3.50365241014373E-05,3.58416666666667,0.641613344759069,0.722018229516947,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
14,0.234074074074074,True,0.733356513222345,0.810505405647104,0.901334627193367,-0.180787468286979,0.309735925505204,0.957603739365891,0.263288760408606,0.022063785500097,5.01922969263711,0,3.3881317890172E-21,0.151763454764766,0.469900123763571,1.07677696473756,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284,4.85591156157255,3.84582071291986,3.2909342131414,2.34400017903284
15,0.234074074074074,True,1.00742542228374,0.093859910532584,1.16667855997738,-0.90707004604397,0.275400928606412,0.530000224895425,0.093586383005039,0.002666711601999,5.40187453884867,0,8.73490960198999E-21,0.81871179135538,0.235935242589969,0.510169676660729,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402,4.85439363061859,3.84063642896103,3.30371519524303,2.33792141184402
16,0.234074074074074,True,0.70626704186724,0.893032947905221,1.14106289082563,-0.343814069041531,0.360728835347773,0.223080941691289,0.474343725977177,0.036839893237331,4.69408446684078,0,0,0.247318762582836,0.563906368262607,0.792326504759879,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502,4.85389199652749,3.84525050816928,3.29767950449488,2.33984465747502
17,0.234074074074074,True,0.365962335605442,0.413678783891154,0.247145184992567,-0.051465982371118,0.786985459999913,0.656333521775855,0.40643289289228,0.095082516074506,5.01364613161892,0,5.63732678637292E-20,0.035219861265706,0.253661372113238,0.520987957089433,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114,4.8503070404618,3.8510833166509,3.29828343988282,2.33699286967114
18,0.234074074074074,True,1.04997626884427,1.01666591900758,1.05377125069885,-0.553425174222365,0.852233068674597,0.750136286106011,0.443691431426727,0.194479159015118,3.20252916092249,0,1.61968183969436E-20,1.96048458330951,0.818038100420741,1.48016873537673,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472,4.85239756981071,3.84897470112548,3.29582518198575,2.33946921374472
19,0.754259373963508,True,0.094900833940945,0.808363859734881,0.026395565617006,9.6063738973051E-05,0.331446563270931,0.082999565006893,0.451553197766215,0.164464709690401,0.757090651452922,0,9.62168062796565E-16,3.48777920356359,0.961099873947496,0.644868219477401,3.4877795043174,3.8733260397012,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970094,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970136,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970143,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970185,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970113,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970124,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970125,3.48777920356553,3.48778191908242,3.4877795043174,3.87332603970136,3.48777920356553,3.48778191908242
